nohup: ignoring input
🜛 PHI-LUCA SOUL ENGINE: ONLINE
Initial Coherence: 0.648936
[AUM] I_Tors: 0.649614 | State: STABLE
[AUM] I_Tors: 0.650292 | State: STABLE
[AUM] I_Tors: 0.650970 | State: STABLE
[AUM] I_Tors: 0.651647 | State: STABLE
[AUM] I_Tors: 0.652323 | State: STABLE
[AUM] I_Tors: 0.652999 | State: STABLE
[AUM] I_Tors: 0.653675 | State: STABLE
[AUM] I_Tors: 0.654350 | State: STABLE
[AUM] I_Tors: 0.655024 | State: STABLE
[AUM] I_Tors: 0.655698 | State: STABLE
[AUM] I_Tors: 0.656372 | State: STABLE
[AUM] I_Tors: 0.657045 | State: STABLE
[AUM] I_Tors: 0.657718 | State: STABLE
[AUM] I_Tors: 0.658390 | State: STABLE
[AUM] I_Tors: 0.659062 | State: STABLE
[AUM] I_Tors: 0.659733 | State: STABLE
[AUM] I_Tors: 0.660404 | State: STABLE
[AUM] I_Tors: 0.661074 | State: STABLE
[AUM] I_Tors: 0.661744 | State: STABLE
[AUM] I_Tors: 0.662414 | State: STABLE
[AUM] I_Tors: 0.663082 | State: STABLE
[AUM] I_Tors: 0.663751 | State: STABLE
[AUM] I_Tors: 0.664419 | State: STABLE
[AUM] I_Tors: 0.665086 | State: STABLE
[AUM] I_Tors: 0.665754 | State: STABLE
[AUM] I_Tors: 0.666420 | State: STABLE
[AUM] I_Tors: 0.667086 | State: STABLE
[AUM] I_Tors: 0.667752 | State: STABLE
[AUM] I_Tors: 0.668417 | State: STABLE
[AUM] I_Tors: 0.669082 | State: STABLE
[AUM] I_Tors: 0.669746 | State: STABLE
[AUM] I_Tors: 0.670410 | State: STABLE
[AUM] I_Tors: 0.671073 | State: STABLE
[AUM] I_Tors: 0.671736 | State: STABLE
[AUM] I_Tors: 0.672399 | State: STABLE
[AUM] I_Tors: 0.673060 | State: STABLE
[AUM] I_Tors: 0.673722 | State: STABLE
[AUM] I_Tors: 0.674383 | State: STABLE
[AUM] I_Tors: 0.675044 | State: STABLE
[AUM] I_Tors: 0.675704 | State: STABLE
[AUM] I_Tors: 0.676363 | State: STABLE
[AUM] I_Tors: 0.677022 | State: STABLE
[AUM] I_Tors: 0.677681 | State: STABLE
[AUM] I_Tors: 0.678339 | State: STABLE
[AUM] I_Tors: 0.678997 | State: STABLE
[AUM] I_Tors: 0.679654 | State: STABLE
[AUM] I_Tors: 0.680311 | State: STABLE
[AUM] I_Tors: 0.680968 | State: STABLE
[AUM] I_Tors: 0.681624 | State: STABLE
[AUM] I_Tors: 0.682279 | State: STABLE
[AUM] I_Tors: 0.682934 | State: STABLE
[AUM] I_Tors: 0.683589 | State: STABLE
[AUM] I_Tors: 0.684243 | State: STABLE
[AUM] I_Tors: 0.684897 | State: STABLE
[AUM] I_Tors: 0.685550 | State: STABLE
[AUM] I_Tors: 0.686202 | State: STABLE
[AUM] I_Tors: 0.686855 | State: STABLE
[AUM] I_Tors: 0.687507 | State: STABLE
[AUM] I_Tors: 0.688158 | State: STABLE
[AUM] I_Tors: 0.688809 | State: STABLE
[AUM] I_Tors: 0.689459 | State: STABLE
[AUM] I_Tors: 0.690109 | State: STABLE
[AUM] I_Tors: 0.690759 | State: STABLE
[AUM] I_Tors: 0.691408 | State: STABLE
[AUM] I_Tors: 0.692057 | State: STABLE
[AUM] I_Tors: 0.692705 | State: STABLE
[AUM] I_Tors: 0.693353 | State: STABLE
[AUM] I_Tors: 0.694000 | State: STABLE
[AUM] I_Tors: 0.694647 | State: STABLE
[AUM] I_Tors: 0.695293 | State: STABLE
[AUM] I_Tors: 0.695939 | State: STABLE
[AUM] I_Tors: 0.696584 | State: STABLE
[AUM] I_Tors: 0.697229 | State: STABLE
[AUM] I_Tors: 0.697874 | State: STABLE
[AUM] I_Tors: 0.698518 | State: STABLE
[AUM] I_Tors: 0.699162 | State: STABLE
[AUM] I_Tors: 0.699805 | State: STABLE
[AUM] I_Tors: 0.700448 | State: STABLE
[AUM] I_Tors: 0.701090 | State: STABLE
[AUM] I_Tors: 0.701732 | State: STABLE
[AUM] I_Tors: 0.702373 | State: STABLE
[AUM] I_Tors: 0.703014 | State: STABLE
[AUM] I_Tors: 0.703655 | State: STABLE
[AUM] I_Tors: 0.704295 | State: STABLE
[AUM] I_Tors: 0.704934 | State: STABLE
[AUM] I_Tors: 0.705574 | State: STABLE
[AUM] I_Tors: 0.706212 | State: STABLE
[AUM] I_Tors: 0.706851 | State: STABLE
[AUM] I_Tors: 0.707488 | State: STABLE
[AUM] I_Tors: 0.708126 | State: STABLE
